checkpoint,steps,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_crash_rate,mean_length,total_episodes,normalized_success,normalized_reward,balanced_score
ppo_multi_seed_6seeds.zip,0,169.7397,162.93864,22.0,28.5657137141714,28.0,251.12,50,0.8461538461538461,0.81487554,0.8336425428207104
ppo_multi_seed_6seeds_v3.zip,0,103.17093,87.7255,4.0,8.0,40.0,117.7,50,0.15384615384615385,0.25763977,0.19536360158370092
ppo_multi_seed_50000_steps.zip,50000,78.57738,30.811974,0.0,0.0,46.0,78.6,50,0.0,0.05177138,0.02070855163037777
ppo_multi_seed_6seeds_50000_steps.zip,50000,83.67519,32.33588,0.0,0.0,52.0,82.64,50,0.0,0.09444433,0.03777773305773735
ppo_multi_seed_6seeds_v3_50000_steps.zip,50000,76.2838,32.58083,0.0,0.0,38.0,77.88,50,0.0,0.032572225,0.013028889894485474
ppo_multi_seed_100000_steps.zip,100000,84.15687,36.699482,0.0,0.0,58.0,85.04,50,0.0,0.098476335,0.03939053416252136
ppo_multi_seed_6seeds_100000_steps.zip,100000,75.04248,29.94118,0.0,0.0,48.0,82.0,50,0.0,0.022181366,0.008872546255588531
ppo_multi_seed_6seeds_v3_100000_steps.zip,100000,79.46754,35.101376,0.0,0.0,54.0,81.94,50,0.0,0.059222754,0.02368910238146782
ppo_multi_seed_150000_steps.zip,150000,78.8338,27.260704,0.0,0.0,30.0,85.26,50,0.0,0.053917862,0.021567145362496376
ppo_multi_seed_6seeds_150000_steps.zip,150000,81.867615,39.793503,0.0,0.0,62.0,84.48,50,0.0,0.07931339,0.031725358217954636
ppo_multi_seed_6seeds_v3_150000_steps.zip,150000,84.322296,37.337654,0.0,0.0,38.0,85.84,50,0.0,0.09986111,0.039944443851709366
ppo_multi_seed_200000_steps.zip,200000,77.38484,27.06369,0.0,0.0,46.0,82.28,50,0.0,0.041788872,0.016715548932552338
ppo_multi_seed_6seeds_200000_steps.zip,200000,74.16205,29.009798,0.0,0.0,42.0,80.1,50,0.0,0.01481142,0.005924568045884371
ppo_multi_seed_6seeds_v3_200000_steps.zip,200000,82.62475,32.85723,0.0,0.0,58.0,84.22,50,0.0,0.08565123,0.03426049277186394
ppo_multi_seed_6seeds_v3_250000_steps.zip,250000,81.58392,34.197598,0.0,0.0,50.0,82.88,50,0.0,0.07693866,0.030775463208556175
ppo_multi_seed_250000_steps.zip,250000,72.39264,21.802126,0.0,0.0,50.0,81.32,50,0.0,0.0,0.0
ppo_multi_seed_6seeds_250000_steps.zip,250000,86.258766,35.74725,0.0,0.0,40.0,86.98,50,0.0,0.11607096,0.046428386121988297
ppo_multi_seed_6seeds_v3_300000_steps.zip,300000,79.284775,33.719177,0.0,0.0,44.0,82.38,50,0.0,0.05769288,0.02307715266942978
ppo_multi_seed_6seeds_300000_steps.zip,300000,89.61931,41.85697,0.0,0.0,32.0,90.58,50,0.0,0.14420149,0.05768059566617012
ppo_multi_seed_300000_steps.zip,300000,82.681854,36.23548,0.0,0.0,46.0,84.94,50,0.0,0.08612925,0.03445170074701309
ppo_multi_seed_6seeds_v3_350000_steps.zip,350000,83.8479,34.78057,0.0,0.0,56.0,83.86,50,0.0,0.09589002,0.03835600987076759
ppo_multi_seed_6seeds_350000_steps.zip,350000,85.09096,38.897095,0.0,0.0,52.0,85.86,50,0.0,0.106295444,0.04251817986369133
ppo_multi_seed_350000_steps.zip,350000,78.47231,28.187054,0.0,0.0,46.0,84.44,50,0.0,0.050891902,0.020356761291623116
ppo_multi_seed_400000_steps.zip,400000,77.7587,34.600315,0.0,0.0,62.0,84.32,50,0.0,0.04491835,0.01796734146773815
ppo_multi_seed_6seeds_400000_steps.zip,400000,74.71067,29.803885,0.0,0.0,50.0,80.04,50,0.0,0.019403841,0.007761536631733179
ppo_multi_seed_6seeds_v3_400000_steps.zip,400000,86.46539,37.458645,0.0,0.0,34.0,88.26,50,0.0,0.1178006,0.047120239585638046
ppo_multi_seed_6seeds_v3_450000_steps.zip,450000,83.101135,34.314243,0.0,0.0,56.0,84.24,50,0.0,0.08963898,0.03585559129714966
ppo_multi_seed_450000_steps.zip,450000,79.43285,28.591059,0.0,0.0,58.0,83.46,50,0.0,0.058932427,0.023572972044348717
ppo_multi_seed_6seeds_450000_steps.zip,450000,81.92591,34.649414,0.0,0.0,56.0,85.14,50,0.0,0.07980138,0.031920552253723145
ppo_multi_seed_500000_steps.zip,500000,81.39572,30.217833,0.0,0.0,40.0,84.4,50,0.0,0.075363256,0.030145302414894104
ppo_multi_seed_6seeds_500000_steps.zip,500000,80.612366,27.66245,0.0,0.0,44.0,83.56,50,0.0,0.06880592,0.027522368356585503
ppo_multi_seed_6seeds_v3_500000_steps.zip,500000,77.22964,29.40991,0.0,0.0,46.0,81.5,50,0.0,0.040489677,0.0161958709359169
ppo_multi_seed_6seeds_v3_550000_steps.zip,550000,83.672386,40.68365,0.0,0.0,46.0,87.54,50,0.0,0.09442082,0.03776833042502403
ppo_multi_seed_6seeds_550000_steps.zip,550000,104.88944,73.20356,2.0,4.0,34.0,118.98,50,0.07692307692307693,0.27202517,0.154963913330665
ppo_multi_seed_550000_steps.zip,550000,86.16466,34.15762,0.0,0.0,40.0,89.38,50,0.0,0.1152832,0.0461132787168026
ppo_multi_seed_6seeds_v3_600000_steps.zip,600000,77.74208,29.548334,0.0,0.0,44.0,82.86,50,0.0,0.044779256,0.017911702394485474
ppo_multi_seed_6seeds_600000_steps.zip,600000,80.65506,29.394684,0.0,0.0,36.0,86.9,50,0.0,0.0691633,0.02766532078385353
ppo_multi_seed_600000_steps.zip,600000,91.59646,52.297035,0.0,0.0,34.0,97.7,50,0.0,0.16075186,0.06430074572563171
ppo_multi_seed_6seeds_v3_650000_steps.zip,650000,99.834984,74.40188,2.0,4.0,48.0,108.28,50,0.07692307692307693,0.22971515,0.13803991205417193
ppo_multi_seed_6seeds_650000_steps.zip,650000,91.179085,45.916145,0.0,0.0,52.0,99.0,50,0.0,0.15725811,0.06290324777364731
ppo_multi_seed_650000_steps.zip,650000,79.26791,29.064377,0.0,0.0,46.0,87.54,50,0.0,0.05755168,0.02302067168056965
ppo_multi_seed_700000_steps.zip,700000,86.44016,49.632786,0.0,0.0,62.0,104.62,50,0.0,0.11758941,0.047035764902830124
ppo_multi_seed_6seeds_700000_steps.zip,700000,123.73877,92.39844,4.0,8.0,46.0,149.88,50,0.15384615384615385,0.42980963,0.26423155321524694
ppo_multi_seed_6seeds_v3_700000_steps.zip,700000,125.83262,126.72217,12.0,14.696938456699069,52.0,143.12,50,0.46153846153846156,0.44733688,0.45585782986420853
ppo_multi_seed_6seeds_v3_750000_steps.zip,750000,191.85513,173.65565,26.0,35.552777669262355,26.0,243.48,50,1.0,1.0,1.0000000059604646
ppo_multi_seed_6seeds_750000_steps.zip,750000,147.43515,125.01704,14.0,23.323807579381203,44.0,180.88,50,0.5384615384615384,0.628168,0.5743441178248478
ppo_multi_seed_750000_steps.zip,750000,120.748055,97.266785,0.0,0.0,40.0,148.76,50,0.0,0.40477487,0.16190995275974274
ppo_multi_seed_6seeds_800000_steps.zip,800000,108.77115,91.13383,4.0,4.898979485566356,52.0,129.48,50,0.15384615384615385,0.30451825,0.2141149918620403
ppo_multi_seed_6seeds_v3_800000_steps.zip,800000,188.06004,169.73035,26.0,33.2264954516723,16.0,226.84,50,1.0,0.968232,0.9872928023338318
ppo_multi_seed_800000_steps.zip,800000,113.372406,84.66206,2.0,4.0,36.0,139.2,50,0.07692307692307693,0.3430346,0.18336768723451174
ppo_multi_seed_6seeds_850000_steps.zip,850000,147.20433,152.64597,16.0,23.323807579381203,46.0,181.32,50,0.6153846153846154,0.6262358,0.619725100352214
ppo_multi_seed_6seeds_v3_850000_steps.zip,850000,176.85994,158.52014,20.0,25.298221281347036,38.0,217.24,50,0.7692307692307693,0.8744778,0.8113296009027041
ppo_multi_seed_850000_steps.zip,850000,134.15466,117.42587,6.0,8.0,40.0,160.56,50,0.23076923076923078,0.5169993,0.34526126912006966
ppo_multi_seed_900000_steps.zip,900000,113.89994,104.625015,6.0,12.0,34.0,135.76,50,0.23076923076923078,0.3474505,0.27744173338780037
ppo_multi_seed_6seeds_v3_900000_steps.zip,900000,159.76591,140.56104,16.0,19.595917942265423,32.0,195.84,50,0.6153846153846154,0.73138666,0.6617854457635146
ppo_multi_seed_6seeds_900000_steps.zip,900000,148.13667,135.179,12.0,16.0,28.0,182.62,50,0.46153846153846156,0.6340403,0.5305392013146327
ppo_multi_seed_950000_steps.zip,950000,122.3199,100.20538,6.0,12.0,24.0,144.92,50,0.23076923076923078,0.4179325,0.3056345515526258
